,법정동,축종,발생두수(마리)
366,4686034022,소,1
367,4882041026,소,1
368,4873032026,벌,11
369,4427032023,소,26
370,4817039027,소,8
371,4427031026,소,23
372,4773031033,소,15
373,4273031034,소,14
374,4376025029,벌,4
375,4827025032,소,12
376,4824037026,소,3
377,4713025923,소,1
378,4713034025,소,2
379,4377035027,소,1
380,4678038029,소,13
381,4678038028,소,1
382,4275034021,벌,5
383,4684034023,소,1
384,3171036023,소,1
385,4686036021,소,1
386,4280033027,벌,100
387,4678025329,벌,1
388,4575032022,벌,6
389,4824035027,소,1
390,4691025325,소,9
391,3171025329,소,4
392,4886034025,벌,2
393,4615037021,벌,1
394,4684025022,소,3
395,4784025023,소,1
396,4873033027,소,2
397,4415025038,소,2
398,4723025038,소,5
399,4481040029,소,2
400,4276038024,소,37
401,4684025026,소,1
402,4684033031,소,6
403,4785032031,소,1
404,5011025329,돼지,1
405,4713025626,소,1
406,4691025022,소,1
407,4691031023,소,1
408,4684034022,소,3
409,4684034022,소,1
410,4684025026,소,1
411,4721010500,소,5
412,4481036028,소,3
413,4691025325,소,1
414,4691031023,소,1
415,4313039027,사슴,12
416,5011025033,돼지,1
417,2771034028,소,5
418,2771026228,소,11
419,4686036024,소,7
420,4725031022,벌,4
421,4723033033,소,1
422,2771026228,소,20
423,4415025025,소,1
424,4686038032,소,1
425,4711132032,벌,3
426,4276038023,벌,3
427,5011025628,돼지,1
428,4276038026,벌,10
429,4684033022,소,3
430,4684032025,소,1
431,4686038021,소,3
432,4373033030,소,4
433,4413136022,벌,70
434,4885033022,벌,2
435,4825034025,벌,7
436,4885039021,벌,5
437,4311132044,벌,30
438,4684025327,소,15
439,4155025025,사슴,1
440,4617031026,소,2
441,4574031032,소,7
442,4273036022,소,6
443,4163031022,소,1
444,4792038021,소,4
445,4784025024,소,1
446,4575031022,벌,25
447,4377035028,소,7
448,4518038026,소,8
449,4575031022,벌,100
450,4521042034,소,1
451,4873032026,벌,3
452,4155031025,사슴,18
453,4617032029,소,1
454,4721010200,소,1
455,4313035034,소,2
456,4686025031,소,9
457,4684032036,소,3
458,4684032034,소,3
459,2771026228,소,1
460,4691032022,소,1
461,4784032044,소,1
462,4777025030,소,1
463,4792038025,소,14
464,4574035026,소,3
465,4615037021,벌,1
